faq_id,stage,audience,category,question,paraphrases,answer,next_action,contact_channel,restrictions,visibility,confidence_type,updated_at,source,keywords,manual_files,last_editor_id,last_editor_name,last_edited_at
FAQ-001,입점문의,공통,8.1 입점 형태 및 기본 운영,팝업과 정규 매장의 공식 운영시간은 각각 어떻게 되나요?,팝업과 정규 매장의 공식 운영시간은 각각 어떻게 되나요?; 팝업과 정규 매장의 공식 운영시간은 어떻게 되나요?; 팝업과 정규 매장의 공식 운영시간을 알려주세요.; 팝업과 정규 매장의 공식 운영시간 문의드립니다.; 팝업과 정규 매장의 공식 운영시간 확인 부탁드립니다.; 팝업과 정규 매장의 공식 운영시간은 어디에서 확인하나요?; 팝업과 정규 매장의 공식 운영시간을 안내해 주세요.; 팝업과 정규 매장의 공식 운영시간 알 수 있을까요?; 팝업과 정규 매장의 공식 운영시간 관련 기준이 궁금합니다.; 팝업과 정규 매장의 공식 운영시간 관련해서 확인하고 싶습니다.,"기본 운영시간은 일~목 10:30~20:30, 금~토 및 공휴일 10:30~21:00입니다. 1~3F와 패션파크 4F는 10:30~22:00까지 운영됩니다. 식당가 영업시간은 매장별로 다를 수 있으므로, 정확한 시간은 아이파크몰 APP의 쇼핑정보-매장검색에서 확인하시면 됩니다.","아이파크몰 APP에서 최신 운영시간을 확인하시고, 필요하신 경우 담당 바이어에게 예외 여부를 문의하시면 됩니다.",담당 바이어; 아이파크몰 APP(쇼핑정보-매장검색),현장 조건에 따라 가능,공통공개,운영 사례형 답변,2026-03-07,답변 입력용 표.xls; 브랜드faq_BRD.md; kakaodata,,,,,
FAQ-002,입점문의,공통,8.1 입점 형태 및 기본 운영,요일/시즌/명절/특정 행사 기간 중 연장 영업 기준이 있나요?,요일/시즌/명절/특정 행사 기간 중 연장 영업 기준이 있나요?; 요일/시즌/명절/특정 행사 기간 중 연장 영업 기준은 어떻게 되나요?; 요일/시즌/명절/특정 행사 기간 중 연장 영업 기준을 알려주세요.; 요일/시즌/명절/특정 행사 기간 중 연장 영업 기준 문의드립니다.; 요일/시즌/명절/특정 행사 기간 중 연장 영업 기준 확인 부탁드립니다.; 요일/시즌/명절/특정 행사 기간 중 연장 영업 기준은 어디에서 확인하나요?; 요일/시즌/명절/특정 행사 기간 중 연장 영업 기준을 안내해 주세요.; 요일/시즌/명절/특정 행사 기간 중 연장 영업 기준 알 수 있을까요?; 요일/시즌/명절/특정 행사 기간 중 연장 영업 기준 내용이 궁금합니다.; 요일/시즌/명절/특정 행사 기간 중 연장 영업 기준 관련해서 확인하고 싶습니다.,"공휴일은 21:00 종료 기준으로 확인됩니다(예: 12/25, 1/1).","아이파크몰 APP에서 최신 운영시간을 확인하시고, 필요하신 경우 담당 바이어에게 예외 여부를 문의하시면 됩니다.",담당 바이어; 아이파크몰 APP(쇼핑정보-매장검색),-,공통공개,운영 사례형 답변,2026-03-07,답변 입력용 표.xls; 브랜드faq_BRD.md; kakaodata,,,,,
FAQ-003,입점문의,공통,8.1 입점 형태 및 기본 운영,오픈/마감 준비를 위해 매장 스태프가 조기/지연 출입 가능한 시간이 정해져있나요?,오픈/마감 준비를 위해 매장 스태프가 조기/지연 출입 가능한 시간이 정해져있나요?; 오픈/마감 준비를 위해 매장 스태프가 조기/지연 출입 가능한 시간은 어떻게 되나요?; 오픈/마감 준비를 위해 매장 스태프가 조기/지연 출입 가능한 시간을 알려주세요.; 오픈/마감 준비를 위해 매장 스태프가 조기/지연 출입 가능한 시간 문의드립니다.; 오픈/마감 준비를 위해 매장 스태프가 조기/지연 출입 가능한 시간 확인 부탁드립니다.; 오픈/마감 준비를 위해 매장 스태프가 조기/지연 출입 가능한 시간은 어디에서 확인하나요?; 오픈/마감 준비를 위해 매장 스태프가 조기/지연 출입 가능한 시간을 안내해 주세요.; 오픈/마감 준비를 위해 매장 스태프가 조기/지연 출입 가능한 시간 알 수 있을까요?; 오픈/마감 준비를 위해 매장 스태프가 조기/지연 출입 가능한 시간 관련 기준이 궁금합니다.; 오픈/마감 준비를 위해 매장 스태프가 조기/지연 출입 가능한 시간 관련해서 확인하고 싶습니다.,"영업 외 시간 출입은 출입신청을 기반으로 가능하며, 야간 작업 무료주차 시간대는 19:00부터 익일 10:00까지입니다.","아이파크몰 APP에서 최신 운영시간을 확인하시고, 필요하신 경우 담당 바이어에게 예외 여부를 문의하시면 됩니다.",담당 바이어; 아이파크몰 APP(쇼핑정보-매장검색),현장 조건에 따라 가능,공통공개,운영 사례형 답변,2026-03-07,답변 입력용 표.xls; 브랜드faq_BRD.md; kakaodata,,,,,
FAQ-004,입점문의,공통,8.1 입점 형태 및 기본 운영,휴점일 또는 단축 영업일 공지는 어떤 채널로 언제 안내하나요?,휴점일 또는 단축 영업일 공지는 어떤 채널로 언제 안내하나요?; 휴점일 또는 단축 영업일 공지는 어떤 채널로 언제 안내하나요는 어떻게 되나요?; 휴점일 또는 단축 영업일 공지는 어떤 채널로 언제 안내하나요를 알려주세요.; 휴점일 또는 단축 영업일 공지는 어떤 채널로 언제 안내하나요 문의드립니다.; 휴점일 또는 단축 영업일 공지는 어떤 채널로 언제 안내하나요 확인 부탁드립니다.; 휴점일 또는 단축 영업일 공지는 어떤 채널로 언제 안내하나요는 어디에서 확인하나요?; 휴점일 또는 단축 영업일 공지는 어떤 채널로 언제 안내하나요를 안내해 주세요.; 휴점일 또는 단축 영업일 공지는 어떤 채널로 언제 안내하나요 알 수 있을까요?; 휴점일 또는 단축 영업일 공지는 어떤 채널로 언제 안내하나요 관련 기준이 궁금합니다.; 휴점일 또는 단축 영업일 공지는 어떤 채널로 언제 안내하나요 관련해서 확인하고 싶습니다.,아이파크몰은 연중 무휴로 운영됩니다. 설날과 추석 당일에도 정상 영업합니다.,"아이파크몰 APP에서 최신 운영시간을 확인하시고, 필요하신 경우 담당 바이어에게 예외 여부를 문의하시면 됩니다.",담당 바이어; 아이파크몰 APP(쇼핑정보-매장검색),-,공통공개,확정 정책형 답변,2026-03-07,답변 입력용 표.xls; 브랜드faq_BRD.md; kakaodata,,,,,
FAQ-005,입점진행,브랜드,8.2 출입 신청 및 인원 등록,출입 신청은 어떤 시스템이나 양식으로 접수하나요?,출입 신청은 어떤 시스템이나 양식으로 접수하나요?; 출입 신청은 어떤 시스템이나 양식으로 접수하나요는 어떻게 되나요?; 출입 신청은 어떤 시스템이나 양식으로 접수하나요를 알려주세요.; 출입 신청은 어떤 시스템이나 양식으로 접수하나요 문의드립니다.; 출입 신청은 어떤 시스템이나 양식으로 접수하나요 확인 부탁드립니다.; 출입 신청은 어떤 시스템이나 양식으로 접수하나요는 어디에서 확인하나요?; 출입 신청은 어떤 시스템이나 양식으로 접수하나요를 안내해 주세요.; 출입 신청은 어떤 시스템이나 양식으로 접수하나요 알 수 있을까요?; 출입 신청은 어떤 시스템이나 양식으로 접수하나요 관련 기준이 궁금합니다.; 출입 신청은 어떤 시스템이나 양식으로 접수하나요 관련해서 확인하고 싶습니다.,"PMS 출입신청 페이지(https://pms.iparkmall.co.kr/intro)에서 접수하시면 됩니다. 차량이 여러 대인 경우에는 차량 등록란에 쉼표로 구분해 입력하시면 되며, 승인부서는 행사 담당팀으로 지정하시면 됩니다.","PMS에서 출입신청을 접수하시고 승인부서를 지정한 뒤, 승인 완료 여부를 확인하시면 됩니다.",PMS(https://pms.iparkmall.co.kr/intro); 보안 02-2012-4112,-,공통공개,확정 정책형 답변,2026-03-07,답변 입력용 표.xls; 브랜드faq_BRD.md; kakaodata,,,,,
FAQ-006,입점진행,브랜드,8.2 출입 신청 및 인원 등록,신규 입점 브랜드의 출입 등록은 언제까지 해야 하나요?,신규 입점 브랜드의 출입 등록은 언제까지 해야 하나요?; 신규 입점 브랜드의 출입 등록은 언제까지 해야 하나요는 어떻게 되나요?; 신규 입점 브랜드의 출입 등록은 언제까지 해야 하나요를 알려주세요.; 신규 입점 브랜드의 출입 등록은 언제까지 해야 하나요 문의드립니다.; 신규 입점 브랜드의 출입 등록은 언제까지 해야 하나요 확인 부탁드립니다.; 신규 입점 브랜드의 출입 등록은 언제까지 해야 하나요는 어디에서 확인하나요?; 신규 입점 브랜드의 출입 등록은 언제까지 해야 하나요를 안내해 주세요.; 신규 입점 브랜드의 출입 등록은 언제까지 해야 하나요 알 수 있을까요?; 신규 입점 브랜드의 출입 등록은 언제까지 해야 하나요 관련 기준이 궁금합니다.; 신규 입점 브랜드의 출입 등록은 언제까지 해야 하나요 관련해서 확인하고 싶습니다.,출입신청은 당일에도 가능하지만 누락이 발생할 수 있으므로 행사 하루 전까지 사전신청하시는 것을 권장드립니다.,"PMS에서 출입신청을 접수하시고 승인부서를 지정한 뒤, 승인 완료 여부를 확인하시면 됩니다.",PMS(https://pms.iparkmall.co.kr/intro); 보안 02-2012-4112,사전 신청/협의; 현장 조건에 따라 가능,공통공개,운영 사례형 답변,2026-03-07,답변 입력용 표.xls; 브랜드faq_BRD.md; kakaodata,,,,,
FAQ-007,입점진행,브랜드,8.2 출입 신청 및 인원 등록,상시 출입 인원과 단기 작업 인원 신청 절차는 어떻게 다른가요?,상시 출입 인원과 단기 작업 인원 신청 절차는 어떻게 다른가요?; 상시 출입 인원과 단기 작업 인원 신청 절차는 어떻게 다른가요는 어떻게 되나요?; 상시 출입 인원과 단기 작업 인원 신청 절차는 어떻게 다른가요를 알려주세요.; 상시 출입 인원과 단기 작업 인원 신청 절차는 어떻게 다른가요 문의드립니다.; 상시 출입 인원과 단기 작업 인원 신청 절차는 어떻게 다른가요 확인 부탁드립니다.; 상시 출입 인원과 단기 작업 인원 신청 절차는 어떻게 다른가요는 어디에서 확인하나요?; 상시 출입 인원과 단기 작업 인원 신청 절차는 어떻게 다른가요를 안내해 주세요.; 상시 출입 인원과 단기 작업 인원 신청 절차는 어떻게 다른가요 알 수 있을까요?; 상시 출입 인원과 단기 작업 인원 신청 절차는 어떻게 다른가요 관련 기준이 궁금합니다.; 상시 출입 인원과 단기 작업 인원 신청 절차는 어떻게 다른가요 관련해서 확인하고 싶습니다.,주간 출입을 원하시는 경우에는 아이파크몰 지하 1층 별주차장 방재실에서 평일 중 주차권을 구매하셔야 합니다.,"PMS에서 출입신청을 접수하시고 승인부서를 지정한 뒤, 승인 완료 여부를 확인하시면 됩니다.",PMS(https://pms.iparkmall.co.kr/intro); 보안 02-2012-4112,-,공통공개,확정 정책형 답변,2026-03-07,답변 입력용 표.xls; 브랜드faq_BRD.md; kakaodata,,,,,
FAQ-008,입점진행,브랜드,8.2 출입 신청 및 인원 등록,외주 인력(시공/청소/집기) 출입 시 필수 제출 서류는 무엇인가요?,외주 인력(시공/청소/집기) 출입 시 필수 제출 서류는 무엇인가요?; 외주 인력(시공/청소/집기) 출입 시 필수 제출 서류는 무엇은 어떻게 되나요?; 외주 인력(시공/청소/집기) 출입 시 필수 제출 서류는 무엇을 알려주세요.; 외주 인력(시공/청소/집기) 출입 시 필수 제출 서류는 무엇 문의드립니다.; 외주 인력(시공/청소/집기) 출입 시 필수 제출 서류는 무엇 확인 부탁드립니다.; 외주 인력(시공/청소/집기) 출입 시 필수 제출 서류는 무엇은 어디에서 확인하나요?; 외주 인력(시공/청소/집기) 출입 시 필수 제출 서류는 무엇을 안내해 주세요.; 외주 인력(시공/청소/집기) 출입 시 필수 제출 서류는 무엇 알 수 있을까요?; 외주 인력(시공/청소/집기) 출입 시 필수 제출 서류는 무엇 관련 기준이 궁금합니다.; 외주 인력(시공/청소/집기) 출입 시 필수 제출 서류는 무엇 관련해서 확인하고 싶습니다.,야간 작업 인원은 출입신청 후 보안데크에서 출입증(표찰)을 수령하시면 됩니다. 이때 보안실에 이름과 전화번호를 함께 공유해 주셔야 합니다.,"PMS에서 출입신청을 접수하시고 승인부서를 지정한 뒤, 승인 완료 여부를 확인하시면 됩니다.",PMS(https://pms.iparkmall.co.kr/intro); 보안 02-2012-4112,-,공통공개,확정 정책형 답변,2026-03-07,답변 입력용 표.xls; 브랜드faq_BRD.md; kakaodata,,,,,
FAQ-009,입점진행,브랜드,8.2 출입 신청 및 인원 등록,야간 작업 승인 기준과 승인권자는 누구인가요?,야간 작업 승인 기준과 승인권자는 누구인가요?; 야간 작업 승인 기준과 승인권자는 누구는 어떻게 되나요?; 야간 작업 승인 기준과 승인권자는 누구를 알려주세요.; 야간 작업 승인 기준과 승인권자는 누구 문의드립니다.; 야간 작업 승인 기준과 승인권자는 누구 확인 부탁드립니다.; 야간 작업 승인 기준과 승인권자는 누구는 어디에서 확인하나요?; 야간 작업 승인 기준과 승인권자는 누구를 안내해 주세요.; 야간 작업 승인 기준과 승인권자는 누구 알 수 있을까요?; 야간 작업 승인 기준과 승인권자는 누구 관련 기준이 궁금합니다.; 야간 작업 승인 기준과 승인권자는 누구 관련해서 확인하고 싶습니다.,"야간 작업 시간대는 19:00부터 익일 10:00까지이며, 출입신청 후 담당 승인부서의 승인을 받으셔야 합니다.","PMS에서 출입신청을 접수하시고 승인부서를 지정한 뒤, 승인 완료 여부를 확인하시면 됩니다.",PMS(https://pms.iparkmall.co.kr/intro); 보안 02-2012-4112,-,공통공개,운영 사례형 답변,2026-03-07,답변 입력용 표.xls; 브랜드faq_BRD.md; kakaodata,,,,,
FAQ-010,입점진행,브랜드,"8.3 차량, 주차, 하역, 동선",브랜드 지원 주차(무료/할인) 기준 시간과 대상은 어떻게 되나요?,브랜드 지원 주차(무료/할인) 기준 시간과 대상은 어떻게 되나요?; 브랜드 지원 주차(무료/할인) 기준 시간과 대상을 알려주세요.; 브랜드 지원 주차(무료/할인) 기준 시간과 대상 문의드립니다.; 브랜드 지원 주차(무료/할인) 기준 시간과 대상 확인 부탁드립니다.; 브랜드 지원 주차(무료/할인) 기준 시간과 대상은 어디에서 확인하나요?; 브랜드 지원 주차(무료/할인) 기준 시간과 대상을 안내해 주세요.; 브랜드 지원 주차(무료/할인) 기준 시간과 대상 알 수 있을까요?; 브랜드 지원 주차(무료/할인) 기준 시간과 대상 관련 기준이 궁금합니다.; 브랜드 지원 주차(무료/할인) 기준 시간과 대상 관련해서 확인하고 싶습니다.,출입계에 등록된 차량에 한해 야간 작업 시간대(19:00~익일 10:00)에는 무료 지원이 가능합니다. 행사 당일 바이어와 협의하시면 일부 차량은 최대 5시간까지 추가 지원이 가능합니다.,"차량번호와 입차 시간을 사전에 공유하시고, 하역장 및 주차 기준에 맞춰 출입신청을 완료하시면 됩니다.",주차 02-2012-0074; 방재 02-2012-0119,현장 조건에 따라 가능,공통공개,운영 사례형 답변,2026-03-07,답변 입력용 표.xls; 브랜드faq_BRD.md; kakaodata,,,,,
FAQ-011,입점진행,브랜드,"8.3 차량, 주차, 하역, 동선",추가 주차 요금 및 정산 방식은 어떻게 되나요?,추가 주차 요금 및 정산 방식은 어떻게 되나요?; 추가 주차 요금 및 정산 방식을 알려주세요.; 추가 주차 요금 및 정산 방식 문의드립니다.; 추가 주차 요금 및 정산 방식 확인 부탁드립니다.; 추가 주차 요금 및 정산 방식은 어디에서 확인하나요?; 추가 주차 요금 및 정산 방식을 안내해 주세요.; 추가 주차 요금 및 정산 방식 알 수 있을까요?; 추가 주차 요금 및 정산 방식 관련 기준이 궁금합니다.; 추가 주차 요금 및 정산 방식 관련해서 확인하고 싶습니다.,"영업시간 중 주차는 주차권 구매 기준으로 운영되며, 지하 1층 방재실에서 구매하실 수 있습니다. 12시간권 금액은 21,600원입니다.","차량번호와 입차 시간을 사전에 공유하시고, 하역장 및 주차 기준에 맞춰 출입신청을 완료하시면 됩니다.",주차 02-2012-0074; 방재 02-2012-0119,현장 조건에 따라 가능,공통공개,운영 사례형 답변,2026-03-07,답변 입력용 표.xls; 브랜드faq_BRD.md; kakaodata,,,,,
FAQ-012,입점진행,브랜드,"8.3 차량, 주차, 하역, 동선",해주차장/하역장 진입 가능 차량 규격(톤수/높이 제한)이 있나요?,해주차장/하역장 진입 가능 차량 규격(톤수/높이 제한)이 있나요?; 해주차장/하역장 진입 가능 차량 규격(톤수/높이 제한)는 어떻게 되나요?; 해주차장/하역장 진입 가능 차량 규격(톤수/높이 제한)를 알려주세요.; 해주차장/하역장 진입 가능 차량 규격(톤수/높이 제한) 문의드립니다.; 해주차장/하역장 진입 가능 차량 규격(톤수/높이 제한) 확인 부탁드립니다.; 해주차장/하역장 진입 가능 차량 규격(톤수/높이 제한)는 어디에서 확인하나요?; 해주차장/하역장 진입 가능 차량 규격(톤수/높이 제한)를 안내해 주세요.; 해주차장/하역장 진입 가능 차량 규격(톤수/높이 제한) 알 수 있을까요?; 해주차장/하역장 진입 가능 차량 규격(톤수/높이 제한) 관련 기준이 궁금합니다.; 해주차장/하역장 진입 가능 차량 규격(톤수/높이 제한) 관련해서 확인하고 싶습니다.,"해주차장은 차량 높이 2.9m 이하 차량만 출입 가능합니다. 톤수 제한은 별도로 없지만 차량 길이가 지나치게 길 경우 회전차로에서 사고 위험이 있을 수 있으며, 화물 7·8·9호기를 사용하시면 됩니다.","차량번호와 입차 시간을 사전에 공유하시고, 하역장 및 주차 기준에 맞춰 출입신청을 완료하시면 됩니다.",주차 02-2012-0074; 방재 02-2012-0119,현장 조건에 따라 가능,공통공개,운영 사례형 답변,2026-03-07,답변 입력용 표.xls; 브랜드faq_BRD.md; kakaodata,,,,,
FAQ-013,입점진행,브랜드,"8.3 차량, 주차, 하역, 동선",달주차장/하역장 진입 가능 차량 규격(톤수/높이 제한)이 있나요?,달주차장/하역장 진입 가능 차량 규격(톤수/높이 제한)이 있나요?; 달주차장/하역장 진입 가능 차량 규격(톤수/높이 제한)는 어떻게 되나요?; 달주차장/하역장 진입 가능 차량 규격(톤수/높이 제한)를 알려주세요.; 달주차장/하역장 진입 가능 차량 규격(톤수/높이 제한) 문의드립니다.; 달주차장/하역장 진입 가능 차량 규격(톤수/높이 제한) 확인 부탁드립니다.; 달주차장/하역장 진입 가능 차량 규격(톤수/높이 제한)는 어디에서 확인하나요?; 달주차장/하역장 진입 가능 차량 규격(톤수/높이 제한)를 안내해 주세요.; 달주차장/하역장 진입 가능 차량 규격(톤수/높이 제한) 알 수 있을까요?; 달주차장/하역장 진입 가능 차량 규격(톤수/높이 제한) 관련 기준이 궁금합니다.; 달주차장/하역장 진입 가능 차량 규격(톤수/높이 제한) 관련해서 확인하고 싶습니다.,"달주차장은 차량 높이 3.3m 이하 차량만 출입 가능합니다. 톤수 제한은 별도로 없지만 차량 길이가 지나치게 길 경우 회전차로에서 사고 위험이 있을 수 있으며, 화물 7·8·9호기를 사용하시면 됩니다.","차량번호와 입차 시간을 사전에 공유하시고, 하역장 및 주차 기준에 맞춰 출입신청을 완료하시면 됩니다.",주차 02-2012-0074; 방재 02-2012-0119,현장 조건에 따라 가능,공통공개,운영 사례형 답변,2026-03-07,답변 입력용 표.xls; 브랜드faq_BRD.md; kakaodata,,,,,
FAQ-014,입점진행,브랜드,"8.3 차량, 주차, 하역, 동선",별주차장/하역장 진입 가능 차량 규격(톤수/높이 제한)이 있나요?,별주차장/하역장 진입 가능 차량 규격(톤수/높이 제한)이 있나요?; 별주차장/하역장 진입 가능 차량 규격(톤수/높이 제한)는 어떻게 되나요?; 별주차장/하역장 진입 가능 차량 규격(톤수/높이 제한)를 알려주세요.; 별주차장/하역장 진입 가능 차량 규격(톤수/높이 제한) 문의드립니다.; 별주차장/하역장 진입 가능 차량 규격(톤수/높이 제한) 확인 부탁드립니다.; 별주차장/하역장 진입 가능 차량 규격(톤수/높이 제한)는 어디에서 확인하나요?; 별주차장/하역장 진입 가능 차량 규격(톤수/높이 제한)를 안내해 주세요.; 별주차장/하역장 진입 가능 차량 규격(톤수/높이 제한) 알 수 있을까요?; 별주차장/하역장 진입 가능 차량 규격(톤수/높이 제한) 관련 기준이 궁금합니다.; 별주차장/하역장 진입 가능 차량 규격(톤수/높이 제한) 관련해서 확인하고 싶습니다.,"별주차장은 차량 높이 2.1m 이하 차량만 출입 가능합니다. 톤수 제한은 별도로 없지만 차량 길이가 지나치게 길 경우 회전차로에서 사고 위험이 있을 수 있으며, 화물 46호기를 사용하시면 됩니다.","차량번호와 입차 시간을 사전에 공유하시고, 하역장 및 주차 기준에 맞춰 출입신청을 완료하시면 됩니다.",주차 02-2012-0074; 방재 02-2012-0119,현장 조건에 따라 가능,공통공개,운영 사례형 답변,2026-03-07,답변 입력용 표.xls; 브랜드faq_BRD.md; kakaodata,,,,,
FAQ-015,입점진행,브랜드,"8.3 차량, 주차, 하역, 동선",물품 반입/하역 가능 시간대가 있나요?,물품 반입/하역 가능 시간대가 있나요?; 물품 반입/하역 가능 시간대는 어떻게 되나요?; 물품 반입/하역 가능 시간대를 알려주세요.; 물품 반입/하역 가능 시간대 문의드립니다.; 물품 반입/하역 가능 시간대 확인 부탁드립니다.; 물품 반입/하역 가능 시간대는 어디에서 확인하나요?; 물품 반입/하역 가능 시간대를 안내해 주세요.; 물품 반입/하역 가능 시간대 알 수 있을까요?; 물품 반입/하역 가능 시간대 관련 기준이 궁금합니다.; 물품 반입/하역 가능 시간대 관련해서 확인하고 싶습니다.,"서울특별시 용산구 한강대로23길 55(한강로 3가) 해주차장 3층 하역장 주소로 낮 시간 택배 및 화물 수령이 가능합니다. 다만 매장 세팅은 통상 오픈 전일 폐점 후, 보통 20:30 이후에 진행하시는 기준입니다.","차량번호와 입차 시간을 사전에 공유하시고, 하역장 및 주차 기준에 맞춰 출입신청을 완료하시면 됩니다.",주차 02-2012-0074; 방재 02-2012-0119,폐점 후 작업; 현장 조건에 따라 가능,공통공개,운영 사례형 답변,2026-03-07,답변 입력용 표.xls; 브랜드faq_BRD.md; kakaodata,,,,,
